>> INCOME = 0.2468	ABILITY = 0
0.529634       0.352873       
0.543432       0.364054       
0.557575       0.375581       
0.572071       0.387354       
0.586929       0.399389       
0.602159       0.411847       
0.617770       0.424667       
0.633771       0.437733       
0.650172       0.451125       
0.666984       0.464974       
0.684215       0.479177       
0.701877       0.493759       
0.719981       0.508681       
0.738537       0.524043       
0.757557       0.539905       
0.777053       0.556252       
0.797036       0.572926       
0.817519       0.589967       
0.838514       0.607600       
0.860033       0.625727       
0.882091       0.644292       
0.904700       0.663318       
0.927874       0.682800       
0.951628       0.702877       
0.975976       0.723509       
1.000932       0.744730       
1.026512       0.766561       
1.052732       0.788862       
1.079607       0.811672       
1.107154       0.835229       
1.135389       0.859479       
1.164331       0.884336       
1.193996       0.909803       
1.224403       0.935860       
1.255569       0.962594       
1.287515       0.990148       
1.320260       1.018517       
1.353823       1.047592       
1.388226       1.077367       
1.423488       1.108001       
1.459632       1.139350       
1.496680       1.171484       
1.534654       1.204546       
1.573577       1.238464       
1.613473       1.273308       
1.654367       1.309146       
1.696283       1.345925       
1.739247       1.383579       
1.783285       1.422112       
1.828423       1.461644       
1.874691       1.502322       
1.922115       1.544119       
1.970725       1.587014       
2.020550       1.631064       
2.071620       1.676292       
2.123967       1.722654       
2.177623       1.770061       
2.232621       1.818572       
2.288993       1.868489       
2.346775       1.919863       
2.406001       1.972598       
2.466708       2.026729       
2.528932       2.082266       
2.592712       2.139178       
2.658087       2.197454       
2.725096       2.257237       
2.793780       2.318639       
2.864181       2.381575       
2.936343       2.446157       
3.010308       2.512542       
3.086123       2.580647       
3.163833       2.650438       
3.243485       2.722017       
3.325129       2.795483       
3.408814       2.870820       
3.494591       2.948131       
3.582513       3.027512       
3.672633       3.108924       
3.765005       3.192347       
3.859687       3.277777       
3.956736       3.365366       
4.056211       3.455367       
4.158173       3.547811       
4.262684       3.642643       
4.369808       3.739845       
4.479610       3.839442       
4.592157       3.941564       
4.707518       4.046409       
4.825763       4.154048       
4.946964       4.264455       
5.071195       4.377632       
5.198531       4.493638       
5.329052       4.612621       
5.462835       4.734716       
5.599962       4.859870       
5.740518       4.988081       
5.884588       5.119653       
6.032259       5.254702       
6.183623       5.393227       
6.338770       5.535284       
6.497796       5.680884       
6.660798       5.830192       
6.827875       5.983394       
6.999128       6.140549       
7.174663       6.301665       
7.354587       6.466820       
7.539008       6.636218       
7.728040       6.809999       
7.921798       6.988239       
8.120400       7.170960       
8.323967       7.358286       
8.532622       7.550436       
8.746495       7.747525       
8.965714       7.949608       
9.190414       8.156601       
9.420731       8.368725       
9.656806       8.586470       
9.898783       8.809912       
10.146809      9.038957       
10.401036      9.273667       
10.661619      9.514339       
10.928716      9.761280       
11.202491      10.014532      
11.483110      10.274118      
11.770745      10.540232      
12.065570      10.813165      
12.367766      11.093089      
12.677517      11.380075      
12.995012      11.674279      
13.320444      11.975958      
13.654012      12.285330      
13.995919      12.602533      
14.346374      12.927729      
14.705590      13.261160      
15.073786      13.603063      
